comm_code,kind
c001,PRIMARY
c002,PRIMARY
c003,PRIMARY
c004,PRIMARY
c005,PRIMARY
c006,PRIMARY
c007,PRIMARY
c008,PRIMARY
c010,PRIMARY
c011,PRIMARY
c012,PRIMARY
c013,PRIMARY
c014,PRIMARY
c015,PRIMARY
c016,PRIMARY
c017,PRIMARY
c018,PRIMARY
c019,PRIMARY
c020,PRIMARY
c021,PRIMARY
c022,PRIMARY
c023,PRIMARY
c024,PRIMARY
c025,PRIMARY
c026,PRIMARY
c027,PRIMARY
c028,PRIMARY
c029,PRIMARY
c031,PRIMARY
c032,PRIMARY
c033,PRIMARY
c034,PRIMARY
c035,PRIMARY
c036,PRIMARY
c037,PRIMARY
c038,PRIMARY
c039,PRIMARY
c040,PRIMARY
c041,PRIMARY
c042,PRIMARY
c043,PRIMARY
c044,PRIMARY
c045,PRIMARY
c046,PRIMARY
c047,PRIMARY
c048,PRIMARY
c049,PRIMARY
c050,PRIMARY
c051,PRIMARY
c052,PRIMARY
c053,PRIMARY
c054,PRIMARY
c055,PRIMARY
c056,PRIMARY
c057,PRIMARY
c058,PRIMARY
c059,PRIMARY
c060,PRIMARY
c061,PRIMARY
c062,PRIMARY
c063,PRIMARY
c064,PRIMARY
c065,PROCESSED
c066,PROCESSED
c068,PROCESSED
c069,PROCESSED
c070,PROCESSED
c071,PROCESSED
c072,PROCESSED
c073,PROCESSED
c074,PROCESSED
c075,PROCESSED
c076,PROCESSED
c077,PROCESSED
c078,PROCESSED
c079,PROCESSED
c081,PROCESSED
c082,PROCESSED
c083,PROCESSED
c084,PROCESSED
c085,PROCESSED
c086,PROCESSED
c087,PROCESSED
c088,PROCESSED
c089,PROCESSED
c090,PROCESSED
c091,PROCESSED
c092,PROCESSED
c093,PROCESSED
c095,PRIMARY
c096,PRIMARY
c097,PRIMARY
c098,PRIMARY
c099,PRIMARY
c100,PRIMARY
c101,PRIMARY
c102,PRIMARY
c103,PRIMARY
c104,PRIMARY
c105,PRIMARY
c106,PRIMARY
c107,PRIMARY
c108,PRIMARY
c109,PRIMARY
c110,PROCESSED
c111,PRIMARY
c112,PRIMARY
c113,PROCESSED
c114,PROCESSED
c115,PROCESSED
c116,PROCESSED
c117,PROCESSED
c118,PROCESSED
c119,PROCESSED
c120,PROCESSED
c121,PRIMARY
c122,PRIMARY
c123,PRIMARY
c141,PRIMARY
c142,PROCESSED
c143,PRIMARY
c144,PROCESSED
c145,PRIMARY
c146,PROCESSED
c147,PROCESSED
c148,PROCESSED
c149,PROCESSED
c150,PROCESSED
c151,PROCESSED
c152,PROCESSED
c153,PROCESSED
c154,PROCESSED
c155,PROCESSED
c156,PROCESSED
c157,PROCESSED
c158,PROCESSED
c159,PROCESSED
c160,PROCESSED
c161,PROCESSED
c162,PROCESSED
c163,PROCESSED
c164,PROCESSED
c165,PROCESSED
c166,PROCESSED
c167,PROCESSED
c168,PROCESSED
c169,PROCESSED
c170,PROCESSED
c171,PROCESSED
c901,PRIMARY
c999,PRIMARY
