proc_code,proc,item_code,comm_code,item,type
p001,Rice production,2807,c001,Rice and products,seedwaste
p002,Wheat production,2511,c002,Wheat and products,seedwaste
p003,Barley production,2513,c003,Barley and products,seedwaste
p004,Maize production,2514,c004,Maize and products,seedwaste
p005,Rye production,2515,c005,Rye and products,seedwaste
p006,Oat production,2516,c006,Oats,seedwaste
p007,Millet production,2517,c007,Millet and products,seedwaste
p008,Sorghum production,2518,c008,Sorghum and products,seedwaste
p009,"Cereals production, Other",97,c141,Triticale,seedwaste
p010,Potatoes  production,2531,c010,Potatoes and products,seedwaste
p011,Cassava production,2532,c011,Cassava and products,seedwaste
p012,Sweet potatoes production,2533,c012,Sweet potatoes,seedwaste
p013,"Roots production, Other",2534,c013,"Roots, Other",seedwaste
p014,Yams production,2535,c014,Yams,seedwaste
p015,Sugar cane production,2536,c015,Sugar cane,seedwaste
p016,Sugar beet production,2537,c016,Sugar beet,seedwaste
p017,Beans production,2546,c017,Beans,seedwaste
p018,Peas production,2547,c018,Peas,seedwaste
p019,"Pulses  production, Other",2549,c019,"Pulses, Other and products",seedwaste
p020,Nuts production,2551,c020,Nuts and products,seedwaste
p021,Soyabeans production,2555,c021,Soyabeans,seedwaste
p022,Groundnuts production,2552,c022,Groundnuts,seedwaste
p023,Sunflower seed production,2557,c023,Sunflower seed,seedwaste
p024,Rape and Mustardseed production,2558,c024,Rape and Mustardseed,seedwaste
p025,Seed cotton production,328,c025,Seed cotton,seedwaste
p025,Seed cotton production,2559,c063,Cottonseed,seedwaste
p026,Coconuts production,2560,c026,Coconuts - Incl Copra,seedwaste
p027,Sesame seed production,2561,c027,Sesame seed,seedwaste
p028,Oil palm fruit production,254,c028,"Oil, palm fruit",seedwaste
p029,Olives production,2563,c029,Olives (including preserved),seedwaste
p030,"Oilcrops production, Other",265,c143,Castor oil seeds,seedwaste
p031,Tomatoes production,2601,c031,Tomatoes and products,seedwaste
p032,Onions production,2602,c032,Onions,seedwaste
p033,"Vegetables production, Other",2605,c033,"Vegetables, Other",seedwaste
p034,"Oranges, Mandarines production",2611,c034,"Oranges, Mandarines",seedwaste
p035,"Lemons, Limes production",2612,c035,"Lemons, Limes and products",seedwaste
p036,Grapefruit production,2613,c036,Grapefruit and products,seedwaste
p037,"Citrus production, Other",2614,c037,"Citrus, Other",seedwaste
p038,Bananas production,2615,c038,Bananas,seedwaste
p039,Plantains production,2616,c039,Plantains,seedwaste
p040,Apples production,2617,c040,Apples and products,seedwaste
p041,Pineapples production,2618,c041,Pineapples and products,seedwaste
p042,Dates production,2619,c042,Dates,seedwaste
p043,Grapes production,2620,c043,Grapes and products (excl wine),seedwaste
p044,"Fruits production, Other",2625,c044,"Fruits, Other",seedwaste
p045,Coffee production,2630,c045,Coffee and products,seedwaste
p046,Cocoa Beans production,2633,c046,Cocoa Beans and products,seedwaste
p047,Tea production,2635,c047,Tea (including mate),seedwaste
p048,Hops production,677,c048,Hops,seedwaste
p049,Pepper production,2640,c049,Pepper,seedwaste
p050,Pimento production,2641,c050,Pimento,seedwaste
p051,Cloves production,2642,c051,Cloves,seedwaste
p052,"Spices production, Other",2645,c052,"Spices, Other",seedwaste
p053,Jute production,2662,c053,Jute,seedwaste
p054,Jute-Like Fibres production,2663,c054,Jute-Like Fibres,seedwaste
p055,"Soft-Fibres production, Other",2664,c055,"Soft-Fibres, Other",seedwaste
p056,Sisal production,2665,c056,Sisal,seedwaste
p057,Abaca production,2666,c057,Abaca,seedwaste
p058,"Hard Fibres production, Other",2667,c058,"Hard Fibres, Other",seedwaste
p059,Tobacco production,2671,c059,Tobacco,seedwaste
p060,Rubber production,2672,c060,Rubber,seedwaste
p061,Fodder crops production,2000,c061,Fodder crops,seedwaste
p062,Grazing production,2001,c062,Grazing,seedwaste
p063,Cotton production,328,c025,Seed cotton,100%
p063,Cotton production,2661,c095,Cotton lint,seedwaste
p064,"Sugar production, non-centrifugal",2536,c015,Sugar cane,TCF
p064,"Sugar production, non-centrifugal",2541,c065,Sugar non-centrifugal,seedwaste
p065,Sugar production,2536,c015,Sugar cane,TCF
p065,Sugar production,2537,c016,Sugar beet,TCF
p065,Sugar production,2542,c066,Sugar (Raw Equivalent),seedwaste
p067,Soyabean Oil extraction,2555,c021,Soyabeans,100%
p067,Soyabean Oil extraction,2571,c068,Soyabean Oil,seedwaste
p067,Soyabean Oil extraction,2590,c081,Soyabean Cake,seedwaste
p068,Groundnut Oil extraction,2552,c022,Groundnuts,100%
p068,Groundnut Oil extraction,2572,c069,Groundnut Oil,seedwaste
p068,Groundnut Oil extraction,2591,c082,Groundnut Cake,seedwaste
p069,Sunflowerseed Oil extraction,2557,c023,Sunflower seed,100%
p069,Sunflowerseed Oil extraction,2573,c070,Sunflowerseed Oil,seedwaste
p069,Sunflowerseed Oil extraction,2592,c083,Sunflowerseed Cake,seedwaste
p070,Rape and Mustard Oil extraction,2558,c024,Rape and Mustardseed,100%
p070,Rape and Mustard Oil extraction,2574,c071,Rape and Mustard Oil,seedwaste
p070,Rape and Mustard Oil extraction,2593,c084,Rape and Mustard Cake,seedwaste
p071,Cottonseed Oil extraction,2559,c063,Cottonseed,100%
p071,Cottonseed Oil extraction,2575,c072,Cottonseed Oil,seedwaste
p071,Cottonseed Oil extraction,2594,c085,Cottonseed Cake,seedwaste
p072,Palmkernel Oil extraction,2562,c064,Palm kernels,100%
p072,Palmkernel Oil extraction,2576,c073,Palmkernel Oil,seedwaste
p072,Palmkernel Oil extraction,2595,c086,Palmkernel Cake,seedwaste
p073,Palm Oil production,254,c028,"Oil, palm fruit",100%
p073,Palm Oil production,2562,c064,Palm kernels,seedwaste
p073,Palm Oil production,2577,c074,Palm Oil,seedwaste
p074,Coconut Oil extraction,2560,c026,Coconuts - Incl Copra,100%
p074,Coconut Oil extraction,2578,c075,Coconut Oil,seedwaste
p074,Coconut Oil extraction,2596,c087,Copra Cake,seedwaste
p075,Sesameseed Oil extraction,2561,c027,Sesame seed,100%
p075,Sesameseed Oil extraction,2579,c076,Sesameseed Oil,seedwaste
p075,Sesameseed Oil extraction,2597,c088,Sesameseed Cake,seedwaste
p076,Olive Oil extraction,2563,c029,Olives (including preserved),100%
p076,Olive Oil extraction,2580,c077,Olive Oil,seedwaste
p077,Ricebran Oil extraction,2581,c078,Ricebran Oil,seedwaste
p077,Ricebran Oil extraction,2598,c089,"Oilseed Cakes, Other",seedwaste
p077,Ricebran Oil extraction,2807,c001,Rice and products,TCF
p078,Maize Germ Oil extraction,2514,c004,Maize and products,TCF
p078,Maize Germ Oil extraction,2582,c079,Maize Germ Oil,seedwaste
p078,Maize Germ Oil extraction,2598,c089,"Oilseed Cakes, Other",seedwaste
p080,Wine production,2620,c043,Grapes and products (excl wine),TCF
p080,Wine production,2655,c090,Wine,seedwaste
p081,Beer production,97,c141,Triticale,optim
p081,Beer production,677,c048,Hops,100%
p081,Beer production,2511,c002,Wheat and products,optim
p081,Beer production,2513,c003,Barley and products,optim
p081,Beer production,2514,c004,Maize and products,optim
p081,Beer production,2515,c005,Rye and products,optim
p081,Beer production,2517,c007,Millet and products,optim
p081,Beer production,2518,c008,Sorghum and products,optim
p081,Beer production,2656,c091,Beer,seedwaste
p081,Beer production,2807,c001,Rice and products,optim
p082,"Beverages production, Fermented",97,c141,Triticale,optim
p082,"Beverages production, Fermented",2511,c002,Wheat and products,optim
p082,"Beverages production, Fermented",2514,c004,Maize and products,optim
p082,"Beverages production, Fermented",2515,c005,Rye and products,optim
p082,"Beverages production, Fermented",2517,c007,Millet and products,optim
p082,"Beverages production, Fermented",2518,c008,Sorghum and products,optim
p082,"Beverages production, Fermented",2615,c038,Bananas,optim
p082,"Beverages production, Fermented",2616,c039,Plantains,optim
p082,"Beverages production, Fermented",2617,c040,Apples and products,optim
p082,"Beverages production, Fermented",2620,c043,Grapes and products (excl wine),optim
p082,"Beverages production, Fermented",2625,c044,"Fruits, Other",optim
p082,"Beverages production, Fermented",2657,c092,"Beverages, Fermented",seedwaste
